,Dyad,Duration_1_0s,Mean_1_0s,Frequency_1_0s,Duration_2_0s,Mean_2_0s,Frequency_2_0s
0,1,178.43333333333334,8.496825396666667,21,292.43333333333334,73.10833333333333,4
1,3,77.03333333333333,5.925641025666667,13,268.1666666666667,29.79629629633333,9
2,5,155.7,5.766666666666667,27,276.2,34.525,8
3,6,148.73333333333332,8.262962963,18,220.56666666666666,27.570833333333333,8
4,7,183.5,10.194444444333334,18,273.1,45.516666666666666,6
5,8,140.66666666666666,5.626666666666667,25,232.6,17.892307692333336,13
6,12,138.93333333333334,6.946666666666667,20,245.56666666666666,49.11333333333334,5
7,14,136.76666666666668,4.884523809666666,28,231.83333333333334,10.537878788,22
8,15,147.63333333333333,8.684313725333334,17,276.8666666666667,39.552380953333326,7
9,16,157.6,17.511111110999998,9,230.66666666666666,28.833333333333332,8
10,17,169.43333333333334,6.777333333333333,25,256.46666666666664,18.319047619,14
11,18,103.96666666666667,2.8099099099,37,233.0,11.095238095333334,21
12,19,125.23333333333333,7.366666666666666,17,216.3,24.033333333333335,9
13,21,147.06666666666666,6.394202898666666,23,261.73333333333335,21.811111111,12
14,23,180.73333333333332,12.909523809666666,14,269.8,38.54285714333333,7
15,24,144.56666666666666,6.023611110999999,24,266.06666666666666,22.172222222333335,12
16,25,160.63333333333333,5.1817204299999995,31,235.83333333333334,23.583333333333332,10
17,26,201.06666666666666,20.10666666666667,10,263.7,52.74,5
18,27,166.53333333333333,11.895238095333333,14,265.9,33.2375,8
19,28,155.73333333333332,5.370114942666667,29,241.53333333333333,18.579487179333334,13
20,29,183.7,9.668421052666668,19,282.46666666666664,56.49333333333333,5
21,30,130.53333333333333,5.675362319,23,241.16666666666666,24.116666666666667,10
22,31,158.53333333333333,6.892753623333332,23,268.3,22.358333333333334,12
23,32,169.56666666666666,13.043589743666667,13,282.6666666666667,40.38095238000001,7
24,33,154.9,5.957692307666666,26,262.6333333333333,26.263333333333332,10
25,34,135.1,5.629166666666666,24,242.73333333333332,26.970370370333335,9
26,35,109.26666666666667,6.070370370333333,18,254.43333333333334,31.804166666666667,8
27,36,183.4,18.34,10,270.3666666666667,38.623809523333335,7
28,37,169.4,6.515384615333334,26,277.9,25.263636363666667,11
29,38,173.96666666666667,10.233333333333333,17,211.43333333333334,21.14333333333333,10
30,41,130.96666666666667,4.365555555666666,30,258.1333333333333,21.511111110999998,12
31,42,142.7,7.510526315666667,19,270.2,30.022222222333333,9
32,43,178.76666666666668,11.917777777666666,15,266.93333333333334,66.73333333333333,4
33,44,123.73333333333333,3.5352380953333333,35,168.96666666666667,11.264444444333332,15
34,45,175.46666666666667,8.773333333333333,20,262.3,18.735714285666667,14
35,47,112.73333333333333,4.509333333333333,25,193.6,19.36,10
36,48,158.7,9.91875,16,194.2,17.654545454666668,11
37,49,154.5,9.088235293999999,17,227.7,32.528571428666666,7
38,50,187.4,13.385714285666667,14,267.8,26.779999999999998,10
39,51,119.1,4.763999999999999,25,272.6,27.259999999999998,10
40,52,103.93333333333334,3.1494949495,33,227.7,16.264285714333333,14
41,53,162.9,11.635714285666667,14,229.96666666666667,28.745833333333334,8
42,54,199.1,15.315384615333333,13,259.26666666666665,28.807407407333336,9
43,55,110.76666666666667,5.274603174666667,21,240.66666666666666,18.512820512666668,13
44,56,176.7,17.67,10,253.56666666666666,50.71333333333334,5
45,57,168.53333333333333,7.022222222333334,24,276.73333333333335,27.673333333333336,10
46,58,150.4,7.52,20,231.13333333333333,28.891666666666666,8
47,59,110.63333333333334,6.914583333333334,16,189.36666666666667,27.052380952333333,7
48,60,135.0,5.869565217333333,23,259.1666666666667,32.395833333333336,8
49,61,156.83333333333334,10.455555555666667,15,273.6,54.72,5
50,62,122.0,2.8372093023333336,43,233.96666666666667,13.762745098,17
51,63,163.66666666666666,6.061728395,27,262.53333333333336,21.877777777666665,12
52,64,158.03333333333333,12.156410256333334,13,278.5,39.78571428666666,7
53,65,125.43333333333334,5.226388889000001,24,260.3,20.023076923,13
54,66,168.1,9.888235294,17,262.43333333333334,26.243333333333332,10
55,67,170.5,10.65625,16,273.3333333333333,54.666666666666664,5
56,68,149.7,6.804545454666667,22,239.9,34.271428570000005,7
57,69,171.83333333333334,6.608974359,26,269.3333333333333,17.955555555666667,15
58,70,135.5,6.159090909,22,259.53333333333336,28.837037037,9
59,71,172.3,10.76875,16,247.06666666666666,49.413333333333334,5
60,72,196.66666666666666,13.111111111000001,15,272.53333333333336,34.06666666666667,8
61,73,144.83333333333334,7.241666666666666,20,247.0,49.4,5
62,74,171.7,6.359259259333333,27,274.03333333333336,22.836111110999997,12
63,75,98.9,4.944999999999999,20,237.86666666666667,23.78666666666667,10
64,77,122.06666666666666,5.5484848483333336,22,237.4,26.377777777666665,9
65,78,139.4,5.808333333333334,24,260.3666666666667,21.697222222333334,12
66,79,109.96666666666667,4.781159420333334,23,241.6,12.08,20
67,80,183.8,13.128571428666667,14,261.93333333333334,65.48333333333333,4
