Dyad,Duration_1_0s,Mean_1_0s,Frequency_1_0s,Duration_1_200s,Mean_1_200s,Frequency_1_200s,Duration_2_0s,Mean_2_0s,Frequency_2_0s,Duration_2_200s,Mean_2_200s,Frequency_2_200s
1,1834,305.66666667,6,1656,184,9,2961,1480.5,2,2910,1455,2
3,741,105.85714286,7,879,293,3,2570,642.5,4,2699,674.75,4
5,1386,138.6,10,1669,208.625,8,2876,958.66666667,3,2581,1290.5,2
6,1411,128.27272727,11,1210,242,5,2697,1348.5,2,2456,818.66666667,3
7,1902,237.75,8,2064,294.85714286,7,2554,851.33333333,3,2757,919,3
8,1160,116,10,1467,163,9,2591,647.75,4,2226,445.2,5
12,1454,145.4,10,1357,226.16666667,6,2451,1225.5,2,2670,1335,2
14,1217,110.63636364,11,1490,212.85714286,7,2459,351.28571429,7,2081,208.1,10
15,1580,225.71428571,7,1302,217,6,2618,654.5,4,2951,1475.5,2
16,2048,512,4,1524,762,2,1537,768.5,2,2605,651.25,4
17,1553,155.3,10,1796,256.57142857,7,2599,649.75,4,2402,300.25,8
18,956,86.909090909,11,997,71.214285714,14,2204,220.4,10,2534,506.8,5
19,1330,147.77777778,9,891,178.2,5,2272,757.33333333,3,2502,1251,2
21,1707,189.66666667,9,1388,277.6,5,2735,683.75,4,2426,404.33333333,6
23,1618,231.14285714,7,1973,493.25,4,2675,891.66666667,3,2752,917.33333333,3
24,1183,91,13,1892,473,4,2849,712.25,4,2573,428.83333333,6
25,1486,123.83333333,12,1655,165.5,10,2564,641,4,2647,661.75,4
26,1689,337.8,5,2411,803.66666667,3,2728,1364,2,2421,807,3
27,1288,214.66666667,6,1588,317.6,5,2517,503.4,5,2460,615,4
28,1227,111.54545455,11,1529,139,11,2462,410.33333333,6,2044,408.8,5
29,1709,189.88888889,9,1867,373.4,5,2734,1367,2,2869,956.33333333,3
30,1472,245.33333333,6,875,87.5,10,2544,848,3,2302,460.4,5
31,1554,155.4,10,1441,144.1,10,2784,696,4,2709,677.25,4
32,1426,237.66666667,6,2351,783.66666667,3,2782,695.5,4,2957,2957,1
33,1286,107.16666667,12,1843,368.6,5,2586,862,3,2543,508.6,5
34,895,81.363636364,11,1595,319,5,2700,1350,2,2608,869.33333333,3
35,837,119.57142857,7,948,135.42857143,7,2730,682.5,4,2427,809,3
36,1813,362.6,5,1842,614,3,2886,1443,2,2547,849,3
37,1758,219.75,8,1653,165.3,10,2813,703.25,4,2715,678.75,4
38,1797,256.71428571,7,1734,346.8,5,2231,557.75,4,2292,458.4,5
41,1241,95.461538462,13,1281,183,7,2731,546.2,5,2468,617,4
42,1254,156.75,8,1626,325.2,5,2654,884.66666667,3,2744,686,4
43,1686,281,6,1809,301.5,6,2405,1202.5,2,2796,1398,2
44,1422,109.38461538,13,1228,111.63636364,11,2014,671.33333333,3,1433,179.125,8
45,1792,224,8,1793,256.14285714,7,2543,847.66666667,3,2535,362.14285714,7
47,1150,104.54545455,11,1219,203.16666667,6,1894,473.5,4,1659,553,3
48,1762,293.66666667,6,1690,281.66666667,6,1907,381.4,5,1962,490.5,4
49,1529,254.83333333,6,1495,299,5,2541,847,3,2135,1067.5,2
50,1834,262,7,1896,474,4,2506,417.66666667,6,2714,904.66666667,3
51,1105,110.5,10,1454,207.71428571,7,2720,680,4,2736,684,4
52,1022,85.166666667,12,840,56,15,2601,433.5,6,2243,560.75,4
53,1834,262,7,1561,312.2,5,2208,736,3,2168,722.66666667,3
54,1798,299.66666667,6,2034,508.5,4,2649,883,3,2708,902.66666667,3
55,1123,124.77777778,9,707,117.83333333,6,2084,297.71428571,7,2509,627.25,4
56,1935,387,5,2094,698,3,2941,2941,1,2492,830.66666667,3
57,1780,197.77777778,9,1746,218.25,8,2783,695.75,4,2741,685.25,4
58,1630,203.75,8,1675,335,5,2255,751.66666667,3,2649,883,3
59,1229,175.57142857,7,1000,250,4,2480,826.66666667,3,1034,344.66666667,3
60,1570,157,10,1441,240.16666667,6,2727,681.75,4,2410,803.33333333,3
61,1841,263,7,1274,254.8,5,2932,1466,2,2730,2730,1
62,1265,84.333333333,15,1100,78.571428571,14,1956,326,6,2616,436,6
63,1619,134.91666667,12,1705,213.125,8,2636,439.33333333,6,2857,714.25,4
64,1679,279.83333333,6,1422,355.5,4,2724,908,3,2801,933.66666667,3
65,1062,118,9,1073,134.125,8,2864,954.66666667,3,2352,336,7
66,1252,139.11111111,9,1840,460,4,2713,542.6,5,2430,607.5,4
67,1508,167.55555556,9,1810,603.33333333,3,2565,1282.5,2,2687,895.66666667,3
68,1623,180.33333333,9,1550,172.22222222,9,1690,845,2,2734,911.33333333,3
69,1481,123.41666667,12,1931,321.83333333,6,2785,557,5,2630,438.33333333,6
70,1392,278.4,5,1449,144.9,10,2708,1354,2,2781,927,3
71,1478,211.14285714,7,1772,295.33333333,6,2274,758,3,2674,1337,2
72,1773,295.5,6,2228,557,4,2832,1416,2,2689,672.25,4
73,1508,167.55555556,9,1317,219.5,6,2356,785.33333333,3,2397,1198.5,2
74,1775,221.875,8,1654,206.75,8,2718,543.6,5,2634,439,6
75,1144,114.4,10,744,124,6,2514,1257,2,2364,591,4
77,1193,149.125,8,1156,128.44444444,9,2294,458.8,5,2189,547.25,4
78,1270,127,10,1369,171.125,8,2556,639,4,2685,537,5
79,979,108.77777778,9,1487,185.875,8,2515,359.28571429,7,2453,408.83333333,6
80,1979,395.8,5,1723,287.16666667,6,2916,2916,1,2376,1188,2
