Dyad,Duration_1_0s,Mean_1_0s,Frequency_1_0s,Duration_2_0s,Mean_2_0s,Frequency_2_0s
1,5353,254.9047619,21,8773,2193.25,4
3,2311,177.76923077,13,8045,893.88888889,9
5,4671,173,27,8286,1035.75,8
6,4462,247.88888889,18,6617,827.125,8
7,5505,305.83333333,18,8193,1365.5,6
8,4220,168.8,25,6978,536.76923077,13
12,4168,208.4,20,7367,1473.4,5
14,4103,146.53571429,28,6955,316.13636364,22
15,4429,260.52941176,17,8306,1186.5714286,7
16,4728,525.33333333,9,6920,865,8
17,5083,203.32,25,7694,549.57142857,14
18,3119,84.297297297,37,6990,332.85714286,21
19,3757,221,17,6489,721,9
21,4412,191.82608696,23,7852,654.33333333,12
23,5422,387.28571429,14,8094,1156.2857143,7
24,4337,180.70833333,24,7982,665.16666667,12
25,4819,155.4516129,31,7075,707.5,10
26,6032,603.2,10,7911,1582.2,5
27,4996,356.85714286,14,7977,997.125,8
28,4672,161.10344828,29,7246,557.38461538,13
29,5511,290.05263158,19,8474,1694.8,5
30,3916,170.26086957,23,7235,723.5,10
31,4756,206.7826087,23,8049,670.75,12
32,5087,391.30769231,13,8480,1211.4285714,7
33,4647,178.73076923,26,7879,787.9,10
34,4053,168.875,24,7282,809.11111111,9
35,3278,182.11111111,18,7633,954.125,8
36,5502,550.2,10,8111,1158.7142857,7
37,5082,195.46153846,26,8337,757.90909091,11
38,5219,307,17,6343,634.3,10
41,3929,130.96666667,30,7744,645.33333333,12
42,4281,225.31578947,19,8106,900.66666667,9
43,5363,357.53333333,15,8008,2002,4
44,3712,106.05714286,35,5069,337.93333333,15
45,5264,263.2,20,7869,562.07142857,14
47,3382,135.28,25,5808,580.8,10
48,4761,297.5625,16,5826,529.63636364,11
49,4635,272.64705882,17,6831,975.85714286,7
50,5622,401.57142857,14,8034,803.4,10
51,3573,142.92,25,8178,817.8,10
52,3118,94.484848485,33,6831,487.92857143,14
53,4887,349.07142857,14,6899,862.375,8
54,5973,459.46153846,13,7778,864.22222222,9
55,3323,158.23809524,21,7220,555.38461538,13
56,5301,530.1,10,7607,1521.4,5
57,5056,210.66666667,24,8302,830.2,10
58,4512,225.6,20,6934,866.75,8
59,3319,207.4375,16,5681,811.57142857,7
60,4050,176.08695652,23,7775,971.875,8
61,4705,313.66666667,15,8208,1641.6,5
62,3660,85.11627907,43,7019,412.88235294,17
63,4910,181.85185185,27,7876,656.33333333,12
64,4741,364.69230769,13,8355,1193.5714286,7
65,3763,156.79166667,24,7809,600.69230769,13
66,5043,296.64705882,17,7873,787.3,10
67,5115,319.6875,16,8200,1640,5
68,4491,204.13636364,22,7197,1028.1428571,7
69,5155,198.26923077,26,8080,538.66666667,15
70,4065,184.77272727,22,7786,865.11111111,9
71,5169,323.0625,16,7412,1482.4,5
72,5900,393.33333333,15,8176,1022,8
73,4345,217.25,20,7410,1482,5
74,5151,190.77777778,27,8221,685.08333333,12
75,2967,148.35,20,7136,713.6,10
77,3662,166.45454545,22,7122,791.33333333,9
78,4182,174.25,24,7811,650.91666667,12
79,3299,143.43478261,23,7248,362.4,20
80,5514,393.85714286,14,7858,1964.5,4
